Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5nw2rQXAjfpZNaMzAJ8qTX,"Smoko","Get This In Ya","The Chats",2017-07-31,179526,55,false,1225630715,2024-04-20T02:58:19Z,"punk","Bargain Bin Records",0.675,0.615,11,-10.674,1,0.0538,0.00395,0.0041,0.166,0.25,86.703,4
spotify:track:4GIeQy7OzftStBoimCWIMU,"Hertz","Comfort To Me","Amyl and The Sniffers",2021-09-10,153800,50,false,1225630715,2024-04-20T02:58:27Z,"riot grrrl,punk","ATO Records",0.329,0.913,1,-2.624,0,0.104,0.00173,0.0000149,0.195,0.782,184.657,4
spotify:track:2DBlfjL5chsdeULzhTp5K8,"Waiting Room","13 Songs","Fugazi",1989-09-01,173266,64,false,1225630715,2024-04-20T02:59:37Z,"post-hardcore,punk,noise rock,hardcore punk","Dischord Records",0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,4
spotify:track:4upw9RT8Cs96EQhCuoNryV,"You Are Going to Hate This","You Are Going to Hate This","The Frights",2016-02-12,186559,48,false,1225630715,2024-04-20T02:59:48Z,"surf rock,garage rock","Dangerbird Records",0.565,0.762,9,-7.713,1,0.0309,0.00546,0.169,0.623,0.63,99.932,4
spotify:track:4jDt1y2gCPiqC3PgWuzLjW,"I Wanna Be Sedated - 1999 Remaster","Road to Ruin","Ramones",1978-09-22,149466,42,false,1225630715,2024-04-20T03:00:28Z,"punk,proto-punk","Rhino/Warner Records",0.597,0.96,11,-3.989,1,0.042,0.169,0.0000289,0.105,0.937,163.017,4
spotify:track:3obapaJgTQOm7ATIDBSm0c,"Return of the Rat","Is This Real?","Wipers",1980-02-15,157826,38,false,1215540488,2024-04-20T03:54:43Z,"post-punk,noise rock,proto-punk,punk,grunge","Zenorecords",0.228,0.952,4,-4.994,0,0.056,0.00000868,0.926,0.0765,0.819,188.802,4
spotify:track:3NoOwvxhI2yMYknxqnFUVx,"Nervous Breakdown","Nervous Breakdown","Black Flag",1979-01-01,129173,51,true,1215540488,2024-04-20T04:01:19Z,"punk,hardcore punk,skate punk,hardcore,proto-punk","SST Records",0.401,0.907,11,-11.422,0,0.0679,0.524,0,0.48,0.317,90.302,4
spotify:track:2teaBsajEi4BWAZOD92vmS,"Wild in the Streets","Wild in the Streets","Circle Jerks",1982,151853,48,false,1215540488,2024-04-20T04:06:40Z,"punk,hardcore punk,skate punk,hardcore,proto-punk","Trust Records",0.454,0.994,4,-2.498,1,0.0368,0.00107,0,0.3,0.383,103.681,4
spotify:track:5bb71zUIXMD6fsnHBLaoQ6,"Ex Lion Tamer - 2006 Remastered Version","Pink Flag (2006 Remastered Version)","Wire",1977-11-01,139693,44,false,1225630715,2024-04-26T21:56:07Z,"post-punk,proto-punk,new wave,punk","pinkflag",0.343,0.855,2,-4.666,1,0.0854,0.251,0.000595,0.224,0.68,161.854,4
spotify:track:7pADnbKBmN6bY2YfLXCIgU,"Minor Threat","First Two Seven Inches","Minor Threat",1981,89160,56,false,1225630715,2024-07-02T04:53:52Z,"hardcore punk,punk,hardcore,skate punk","Dischord Records",0.272,0.909,2,-7.476,1,0.0529,0.00145,0.00221,0.207,0.947,166.453,4
spotify:track:3hgBGx3ShG9uCiJ3kvh8wm,"Los Angeles","Los Angeles (2019 Remaster)","X",1980-04-26,144821,46,true,1225630715,2024-07-02T04:55:34Z,"punk,proto-punk","Fat Possum",0.608,0.791,7,-5.441,1,0.0306,0.0871,0.00000181,0.0868,0.722,92.743,4
spotify:track:3gq0rDxpS9e6sbO72PBWbn,"U Should Not Be Doing That","U Should Not Be Doing That / Facts","Amyl and The Sniffers",2024-05-21,206659,42,true,1225630715,2024-08-30T20:48:54Z,"riot grrrl,punk","Virgin Music Label And Artist Services Australia (P&D)",0.626,0.923,1,-1.734,1,0.058,0.00265,0.0000949,0.0604,0.797,125.046,4
spotify:track:2yMpXk53Ob8m2AnYojBCl6,"Can't Get Past the Lips","Can't Get Past the Lips","BRONCHO",2013-05-21,108933,22,false,1215540488,2024-09-14T03:50:56Z,"","BRONCHO Worldwide",0.29,0.863,11,-7.402,0,0.0427,0.00321,0.0531,0.572,0.889,172.529,4
spotify:track:5SQOAXMrAxunWzVTW3oIvP,"Drab Measure","Crack Cloud","Crack Cloud",2018-11-09,280320,32,false,1215540488,2024-09-28T19:27:39Z,"egg punk,post-punk","Deranged Records",0.735,0.925,9,-5.8,1,0.0928,0.128,0.832,0.11,0.906,169.974,4
spotify:track:4IixKf4WnlQ56QPwHchEO5,"Eyes","Mushroom Death Sex Bummer Party","Wine Lips",2021-10-29,90343,1,false,1215540488,2024-10-12T23:34:04Z,"egg punk,garage rock","Stomp Records",0.409,0.954,0,-5.504,1,0.0825,0.000127,0.881,0.313,0.676,98.087,4
spotify:track:4C6EPbxGiGSX95nJY3z9ZG,"I Got Heaven","I Got Heaven","Mannequin Pussy",2024-03-01,178933,56,true,1225630715,2024-11-05T17:55:58Z,"riot grrrl,queercore,indie punk","Epitaph",0.503,0.931,6,-6.897,0,0.0883,0.00978,0.00000747,0.407,0.357,127.013,4
spotify:track:1f3Y2dD2EeGRZcyKD9dwij,"Pissdrinker","Mannequin Pussy","Mannequin Pussy",2014-09-09,196440,28,true,1225630715,2025-06-11T04:52:15Z,"riot grrrl,queercore,indie punk","Mannequin Pussy and Many Hats Distribution",0.354,0.854,0,-5.701,1,0.034,0.057,0.0027,0.102,0.316,78.825,4
spotify:track:2OaXmeYBJ0hcTmS3kxjJOx,"See No Evil","Marquee Moon","Television",1977-02-08,232960,48,false,1215540488,2025-06-22T03:24:27Z,"proto-punk,post-punk,art rock,new wave","Elektra Records",0.398,0.782,7,-7.944,1,0.0322,0.0224,0.0684,0.0912,0.806,144.965,4
spotify:track:3cNNyJEgAY0Vu2MTym3oE3,"Listen to My Heart - 2016 Remaster","Ramones (2017 Remaster)","Ramones",1976-04-26,118653,30,false,1225630715,2025-09-10T00:18:07Z,"punk,proto-punk","Rhino/Warner Records",0.295,0.899,9,-1.733,1,0.0965,0.000715,0.000253,0.364,0.826,179.209,4
spotify:track:3wCJGNuWIoeKHsrZdAybiO,"Cuntology 101","Who Let The Dogs Out","Lambrini Girls",2025-01-10,138533,59,true,1225630715,2025-12-17T22:56:01Z,"riot grrrl,queercore,punk","City Slang",0.673,0.791,1,-4.646,0,0.0516,0.000852,0.000234,0.119,0.365,147.107,4
spotify:track:2ITXPxN3Q9uzEqZlCXS2IL,"Sick Ride","Sick Ride","Karen Dió",2024-04-25,97906,54,true,1225630715,2026-01-13T22:20:01Z,"riot grrrl","Hopeless Records",0.765,0.969,1,-4.587,1,0.126,0.0225,0,0.282,0.907,144.054,4
spotify:track:6OLLrQfvU66LY4dUagqnJX,"Little Fix","A Modern Job","SPRINTS",2022-03-11,196000,50,false,1225630715,2026-01-13T23:13:18Z,"post-punk","Nice Swan Recordings",0.262,0.862,2,-8.566,1,0.0647,0.000395,0.00145,0.308,0.572,173.087,4
